subject,strategy,nlogLik,mean_prob,n_selections,experiment_name,age_group,age,best_nlogLik,LR,p_value
Crossact1_p101,entropy,7.92958987846154,0.14527413035082726,4,Experiment 2,kids,4.294444444,6.996732163133916,-1.8657154306552481,1
Crossact1_p101,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,4.294444444,6.996732163133916,-1.630909241354205,1
Crossact1_p101,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,4.294444444,6.996732163133916,-0.3406114275566079,1
Crossact1_p101,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,4.294444444,6.996732163133916,-0.47242460309521306,1
Crossact1_p101,margin,6.996732163133916,0.20253961688838137,4,Experiment 2,kids,4.294444444,6.996732163133916,-0,1
Crossact1_p102,entropy,7.1676558784820905,0.1736235216381625,4,Experiment 2,kids,5.302777778,7.16703787691222,-0.0012360031397413707,1
Crossact1_p102,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,5.302777778,7.16703787691222,-1.2902978137975971,1
Crossact1_p102,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,5.302777778,7.16703787691222,-0,1
Crossact1_p102,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,5.302777778,7.16703787691222,-0.13181317553860517,1
Crossact1_p102,margin,21.817715871770382,0.00486026937211991,4,Experiment 2,kids,5.302777778,7.16703787691222,-29.301355989716324,1
Crossact1_p103,entropy,7.9112360327153795,0.14565802032954883,4,Experiment 2,kids,5.705555556,7.122232741373182,-1.5780065826843952,1
Crossact1_p103,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,5.705555556,7.122232741373182,-1.379908084875673,1
Crossact1_p103,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,5.705555556,7.122232741373182,-0.08961027107807595,1
Crossact1_p103,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,5.705555556,7.122232741373182,-0.22142344661668112,1
Crossact1_p103,margin,7.122232741373182,0.20044547585099906,4,Experiment 2,kids,5.705555556,7.122232741373182,-0,1
Crossact1_p104,entropy,7.983992106618745,0.14414979727770155,4,Experiment 2,kids,5.861111111,6.5829582521946,-2.8020677088482895,1
Crossact1_p104,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,5.861111111,6.5829582521946,-2.458457063232837,1
Crossact1_p104,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,5.861111111,6.5829582521946,-1.1681592494352397,1
Crossact1_p104,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,5.861111111,6.5829582521946,-1.299972424973845,1
Crossact1_p104,margin,6.5829582521946,0.21024522414550315,4,Experiment 2,kids,5.861111111,6.5829582521946,-0,1
Crossact1_p105,entropy,6.327148048488886,0.2056722273340898,4,Experiment 2,kids,4.108333333,6.327148048488886,-0,1
Crossact1_p105,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,4.108333333,6.327148048488886,-2.9700774706442647,1
Crossact1_p105,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,4.108333333,6.327148048488886,-1.6797796568466676,1
Crossact1_p105,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,4.108333333,6.327148048488886,-1.8115928323852728,1
Crossact1_p105,margin,25.62504968320505,0.0016511845908186483,4,Experiment 2,kids,4.108333333,6.327148048488886,-38.595803269432324,1
Crossact1_p106,entropy,7.983992106618745,0.14414979727770155,4,Experiment 2,kids,4.7,6.5829582521946,-2.8020677088482895,1
Crossact1_p106,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,4.7,6.5829582521946,-2.458457063232837,1
Crossact1_p106,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,4.7,6.5829582521946,-1.1681592494352397,1
Crossact1_p106,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,4.7,6.5829582521946,-1.299972424973845,1
Crossact1_p106,margin,6.5829582521946,0.21024522414550315,4,Experiment 2,kids,4.7,6.5829582521946,-0,1
Crossact1_p107,entropy,7.947559885379252,0.14490615995890796,4,Experiment 2,kids,6.991666667,6.874341395453685,-2.146436979851133,1
Crossact1_p107,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,6.991666667,6.874341395453685,-1.8756907767146664,1
Crossact1_p107,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,6.991666667,6.874341395453685,-0.5853929629170693,1
Crossact1_p107,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,6.991666667,6.874341395453685,-0.7172061384556745,1
Crossact1_p107,margin,6.874341395453685,0.20452729586037524,4,Experiment 2,kids,6.991666667,6.874341395453685,-0,1
Crossact1_p108,entropy,7.111151842943195,0.17483684308523847,4,Experiment 2,kids,7.238888889,7.111151842943195,-0,1
Crossact1_p108,confirmatory,7.812186783811018,0.14739284615267514,4,Experiment 2,kids,7.238888889,7.111151842943195,-1.4020698817356472,1
Crossact1_p108,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,7.238888889,7.111151842943195,-0.11177206793805006,1
Crossact1_p108,novelty,7.232944464681522,0.16394955211724557,4,Experiment 2,kids,7.238888889,7.111151842943195,-0.24358524347665522,1
Crossact1_p108,margin,21.82975356677761,0.004854379716710508,4,Experiment 2,kids,7.238888889,7.111151842943195,-29.437203447668836,1
Crossact1_p109,entropy,8.81646213886469,0.11592840086522381,4,Experiment 2,kids,5.797222222,5.9182058655613385,-5.796512546606703,1
Crossact1_p109,confirmatory,5.9182058655613385,0.2861583823050717,4,Experiment 2,kids,5.797222222,5.9182058655613385,-0,1
Crossact1_p109,random,7.16703787691222,0.16666666666666666,4,Experiment 2,kids,5.797222222,5.9182058655613385,-2.4976640227017626,1
Crossact1_p109,novelty,7.396166064839335,0.15746082320850857,4,Experiment 2,kids,5.797222222,5.9182058655613385,-2.9559203985559925,1
